id,title,body,category,priority
855,Assegni familiari,Devo comunicare un periodo di malattia Grazie per l'assistenza.,Amministrazione,media
856,Tastiera bloccata,La connessione VPN si disconnette continuamente Quando possibile.,Tecnico,bassa
857,Fattura errata,"Siamo interessati a una partnership commerciale Situazione critica, sistema bloccato.",Commerciale,alta
858,Certificato lavoro,Ho ricevuto il contratto da firmare Problema grave che blocca tutto.,Amministrazione,alta
859,Sostituzione articolo,"Vorrei verificare il credito residuo Quando possibile, grazie.",Commerciale,media
860,Aggiornamento fallito,Ho bisogno di installare un nuovo software Grazie per l'assistenza.,Tecnico,media
861,Offerta speciale,Vorrei disdire il servizio attivo Fatemi sapere.,Commerciale,media
862,Server non risponde,La chiavetta USB non viene riconosciuta Grazie in anticipo.,Tecnico,media
863,Upgrade piano,Richiedo la sostituzione dell'articolo difettoso È solo una domanda informativa.,Commerciale,bassa
864,Trasferta,Il mio contratto è in scadenza Cordiali saluti.,Amministrazione,media
865,Richiesta preventivo,Devo rinnovare il mio abbonamento Non è prioritario.,Commerciale,bassa
866,Feedback servizio,"Vorrei discutere un contratto di fornitura Sono fermo, non posso procedere.",Commerciale,alta
867,Reclamo prodotto,Devo modificare la quantità dell'ordine effettuato Problema grave che blocca tutto.,Commerciale,alta
868,Richiesta permesso,"Il mio contratto è in scadenza Urgentissimo, il cliente attende.",Amministrazione,alta
869,Disponibilità articolo,"Vorrei ricevere il catalogo prodotti completo Situazione critica, sistema bloccato.",Commerciale,alta
870,Smart working,Devo aggiornare il mio indirizzo di residenza Fatemi sapere.,Amministrazione,media
871,Contratto da firmare,Il mio contratto è in scadenza Ho bisogno di aiuto immediato.,Amministrazione,alta
872,PC si spegne da solo,Il PC si spegne improvvisamente senza motivo A vostra comodità.,Tecnico,bassa
873,Tracciamento ordine,"Il mio ordine è in ritardo rispetto alla data prevista Quando possibile, grazie.",Commerciale,media
874,Connessione internet assente,Il PC si spegne improvvisamente senza motivo Attendo riscontro.,Tecnico,media
875,Upgrade piano,Ci sono offerte speciali in corso? Senza fretta.,Commerciale,bassa
876,Sconto richiesto,L'articolo che cerco è disponibile in magazzino? È bloccante per il mio lavoro.,Commerciale,alta
877,Nuovo cliente,Vorrei verificare il credito residuo Cordiali saluti.,Commerciale,media
878,Nuovo cliente,Devo modificare la quantità dell'ordine effettuato Grazie per l'assistenza.,Commerciale,media
879,Rinnovo contratto,Vorrei richiedere il congedo parentale Problema grave che blocca tutto.,Amministrazione,alta
880,Reso merce,La fattura ricevuta contiene degli errori Cordiali saluti.,Commerciale,media
881,Bluetooth non funziona,Non riesco a collegare dispositivi Bluetooth Solo per avere informazioni.,Tecnico,bassa
882,Busta paga errata,"Ho bisogno di un attestato di servizio Sono fermo, non posso procedere.",Amministrazione,alta
883,Busta paga errata,Vorrei informazioni sul prestito aziendale Problema grave che blocca tutto.,Amministrazione,alta
884,Upgrade piano,L'articolo che cerco è disponibile in magazzino? Grazie per l'assistenza.,Commerciale,media
885,Monitor sfarfalla,Impossibile navigare su internet Resto in attesa di risposta.,Tecnico,media
886,RAM insufficiente,La chiavetta USB non viene riconosciuta,Tecnico,media
887,Dimissioni,Vorrei informazioni sulla liquidazione del TFR Solo per curiosità.,Amministrazione,bassa
888,Errore di sistema,Non esce audio dalle casse del computer È solo una domanda informativa.,Tecnico,bassa
889,Tracciamento ordine,Sono un nuovo cliente e vorrei registrarmi Grazie in anticipo.,Commerciale,media
890,Monitor sfarfalla,Il sistema nega l'accesso ai file condivisi Grazie per l'assistenza.,Tecnico,media
891,Rinnovo contratto,"Ho notato un errore nell'importo della busta paga È urgente, non riesco a lavorare.",Amministrazione,alta
892,Password dimenticata,Il disco C: è quasi pieno Senza fretta.,Tecnico,bassa
893,Software non funziona,"Non riesco a collegare dispositivi Bluetooth È urgente, non riesco a lavorare.",Tecnico,alta
894,Lettera referenze,Vorrei presentare le dimissioni Grazie in anticipo.,Amministrazione,media
895,Trasferta,Ho notato un errore nell'importo della busta paga Ho bisogno di aiuto immediato.,Amministrazione,alta
896,Busta paga errata,Invio la nota spese del mese Fatemi sapere.,Amministrazione,media
897,Disco pieno,Il backup automatico non viene eseguito,Tecnico,media
898,Assegni familiari,Richiedo informazioni sul congedo di maternità Problema grave che blocca tutto.,Amministrazione,alta
899,Catalogo prodotti,Vorrei lasciare un feedback sul servizio ricevuto Attendo riscontro.,Commerciale,media
900,Connessione internet assente,"Il monitor presenta sfarfallii continui Quando possibile, grazie.",Tecnico,media
901,Cambio IBAN,Richiedo un cambio di mansione Grazie in anticipo.,Amministrazione,media
902,Email non arrivano,Il monitor presenta sfarfallii continui Grazie in anticipo.,Tecnico,media
903,Server non risponde,"Il disco C: è quasi pieno Emergenza, serve intervento immediato.",Tecnico,alta
904,Dimissioni,I contributi versati risultano errati Fatemi sapere.,Amministrazione,media
905,Detrazioni fiscali,Devo comunicare un periodo di malattia Fatemi sapere.,Amministrazione,media
906,PC si spegne da solo,Alcuni tasti della tastiera non funzionano Problema grave che blocca tutto.,Tecnico,alta
907,Disponibilità articolo,Vorrei tracciare il mio ordine Grazie in anticipo.,Commerciale,media
908,Straordinari non pagati,"Non ho ricevuto la CUD di quest'anno È urgente, non riesco a lavorare.",Amministrazione,alta
909,Audio non funziona,Il PC si spegne improvvisamente senza motivo,Tecnico,media
910,Fattura errata,Vorrei ricevere il catalogo prodotti completo,Commerciale,media
911,Richiesta permesso,Ho ricevuto il contratto da firmare È bloccante per il mio lavoro.,Amministrazione,alta
912,Tracciamento ordine,Richiedo il listino prezzi aggiornato Solo per curiosità.,Commerciale,bassa
913,Modifica anagrafica,I contributi versati risultano errati,Amministrazione,media
914,Computer lento,Il disco C: è quasi pieno Senza fretta.,Tecnico,bassa
915,Sostituzione articolo,Devo rinnovare il mio abbonamento Quando possibile.,Commerciale,bassa
916,Richiesta ferie,"Gli straordinari del mese scorso non sono stati pagati Sono fermo, non posso procedere.",Amministrazione,alta
917,Maternità,Richiedo informazioni sul congedo di maternità Grazie per l'assistenza.,Amministrazione,media
918,Offerta speciale,È possibile ricevere dei campioni gratuiti? È bloccante per il mio lavoro.,Commerciale,alta
919,Errore contributi,Richiedo un anticipo sullo stipendio Solo per avere informazioni.,Amministrazione,bassa
920,Driver mancante,Il PC si spegne improvvisamente senza motivo Solo per curiosità.,Tecnico,bassa
921,Trasferta,"Richiedo una variazione dell'orario di lavoro Urgentissimo, il cliente attende.",Amministrazione,alta
922,Ordine in ritardo,La fattura ricevuta contiene degli errori È solo una domanda informativa.,Commerciale,bassa
923,Configurazione email,Non riesco a connettermi alla rete aziendale Solo per avere informazioni.,Tecnico,bassa
924,Credito cliente,Vorrei verificare il credito residuo Quando possibile.,Commerciale,bassa
925,Virus rilevato,"L'aggiornamento del sistema operativo è fallito Situazione critica, sistema bloccato.",Tecnico,alta
926,Software da installare,Il monitor presenta sfarfallii continui Problema grave che blocca tutto.,Tecnico,alta
927,VPN non funziona,Lo schermo rimane nero dopo l'accensione Fatemi sapere.,Tecnico,media
928,Offerta speciale,Vorrei verificare il credito residuo Ho bisogno di aiuto immediato.,Commerciale,alta
929,Tastiera bloccata,L'aggiornamento del sistema operativo è fallito Grazie in anticipo.,Tecnico,media
930,USB non riconosciuta,Il computer impiega troppo tempo ad avviarsi Quando possibile.,Tecnico,bassa
931,Partnership commerciale,Vorrei lasciare un feedback sul servizio ricevuto Solo per curiosità.,Commerciale,bassa
932,Tracciamento ordine,"È possibile ottenere uno sconto per grandi quantità? È urgente, non riesco a lavorare.",Commerciale,alta
933,Nota spese,"Il cedolino presenta delle anomalie Sono fermo, non posso procedere.",Amministrazione,alta
934,Disco pieno,Il sistema è molto lento per mancanza di RAM Senza fretta.,Tecnico,bassa
935,Licenza scaduta,Alcuni tasti della tastiera non funzionano Problema grave che blocca tutto.,Tecnico,alta
936,Problema cedolino,Ho bisogno di una lettera di referenze Ho bisogno di aiuto immediato.,Amministrazione,alta
937,Monitor sfarfalla,"Non riesco a connettermi alla rete aziendale Urgentissimo, il cliente attende.",Tecnico,alta
938,Reso merce,Vorrei ricevere il catalogo prodotti completo A vostra comodità.,Commerciale,bassa
939,Disdetta servizio,"Siamo interessati a una partnership commerciale Non è urgente, quando avete tempo.",Commerciale,bassa
940,Server non risponde,"Il sistema è molto lento per mancanza di RAM Emergenza, serve intervento immediato.",Tecnico,alta
941,VPN non funziona,Il computer impiega troppo tempo ad avviarsi Non è prioritario.,Tecnico,bassa
942,Smart working,"Ho bisogno di modificare le detrazioni fiscali Situazione critica, sistema bloccato.",Amministrazione,alta
943,Cambio IBAN,Invio la nota spese del mese Attendo riscontro.,Amministrazione,media
944,Anticipo stipendio,Non ho ricevuto la CUD di quest'anno È solo una domanda informativa.,Amministrazione,bassa
945,Nuovo cliente,"Vorrei lasciare un feedback sul servizio ricevuto Non è urgente, quando avete tempo.",Commerciale,bassa
946,Assistenza post-vendita,Confermo di aver effettuato il pagamento Grazie per l'assistenza.,Commerciale,media
947,Malattia,Devo comunicare un periodo di malattia,Amministrazione,media
948,Variazione orario,Gli straordinari del mese scorso non sono stati pagati Fatemi sapere.,Amministrazione,media
949,Connessione internet assente,Non esce audio dalle casse del computer Cordiali saluti.,Tecnico,media
950,Aggiornamento fallito,Non esce audio dalle casse del computer Senza fretta.,Tecnico,bassa
951,CUD mancante,"Vorrei presentare le dimissioni Situazione critica, sistema bloccato.",Amministrazione,alta
952,Assegni familiari,"Vorrei presentare le dimissioni Emergenza, serve intervento immediato.",Amministrazione,alta
953,Pagamento effettuato,Vorrei discutere un contratto di fornitura Cordiali saluti.,Commerciale,media
954,Anticipo stipendio,"Non ho ricevuto la CUD di quest'anno Quando possibile, grazie.",Amministrazione,media
955,Tastiera bloccata,La connessione VPN si disconnette continuamente,Tecnico,media
956,PC si spegne da solo,La licenza del software è scaduta Senza fretta.,Tecnico,bassa
957,CUD mancante,Devo comunicare un periodo di malattia Cordiali saluti.,Amministrazione,media
958,Prestito aziendale,"Il mio contratto è in scadenza Urgentissimo, il cliente attende.",Amministrazione,alta
959,Nuovo cliente,Richiedo la sostituzione dell'articolo difettoso Ho bisogno di aiuto immediato.,Commerciale,alta
960,Partnership commerciale,Il mio ordine è in ritardo rispetto alla data prevista Solo per avere informazioni.,Commerciale,bassa
961,Richiesta preventivo,Ho bisogno di una spedizione urgente Grazie in anticipo.,Commerciale,media
962,Assegni familiari,Vorrei attivare lo smart working È bloccante per il mio lavoro.,Amministrazione,alta
963,Smart working,Vorrei presentare le dimissioni È solo una domanda informativa.,Amministrazione,bassa
964,Upgrade piano,Vorrei verificare il credito residuo Grazie per l'assistenza.,Commerciale,media
965,Assistenza post-vendita,Vorrei lasciare un feedback sul servizio ricevuto,Commerciale,media
966,Password dimenticata,Il computer impiega troppo tempo ad avviarsi Ho bisogno di aiuto immediato.,Tecnico,alta
967,Busta paga errata,"Vorrei informazioni sulla liquidazione del TFR Urgentissimo, il cliente attende.",Amministrazione,alta
968,Malattia,Ho bisogno di un certificato di lavoro per la banca Grazie in anticipo.,Amministrazione,media
969,Contratto da firmare,Richiedo informazioni sul congedo di maternità,Amministrazione,media
970,Contratto da firmare,Ho bisogno di un attestato di servizio Resto in attesa di risposta.,Amministrazione,media
971,Upgrade piano,Vorrei effettuare il reso della merce acquistata Ho bisogno di aiuto immediato.,Commerciale,alta
972,Errore contributi,Il cedolino presenta delle anomalie Fatemi sapere.,Amministrazione,media
973,Webcam non rilevata,Il file Excel non si apre correttamente Problema grave che blocca tutto.,Tecnico,alta
974,Problema cedolino,Richiedo assistenza per il modello 730 Resto in attesa di risposta.,Amministrazione,media
975,Reclamo prodotto,Confermo di aver effettuato il pagamento Cordiali saluti.,Commerciale,media
976,Assegni familiari,Il mio contratto è in scadenza È solo una domanda informativa.,Amministrazione,bassa
977,Upgrade piano,Richiedo la sostituzione dell'articolo difettoso Grazie in anticipo.,Commerciale,media
978,Sollecito pagamento,Siamo interessati a una partnership commerciale Fatemi sapere.,Commerciale,media
979,Sconto richiesto,Vorrei annullare l'ordine numero 12345 Grazie in anticipo.,Commerciale,media
980,Webcam non rilevata,Ho bisogno di installare un nuovo software È solo una domanda informativa.,Tecnico,bassa
981,Ordine in ritardo,Invio sollecito per il pagamento della fattura Problema grave che blocca tutto.,Commerciale,alta
982,Straordinari non pagati,"Richiedo informazioni sul congedo di maternità Quando possibile, grazie.",Amministrazione,media
983,Aggiornamento fallito,La chiavetta USB non viene riconosciuta Quando possibile.,Tecnico,bassa
984,Pagamento effettuato,"Ci sono offerte speciali in corso? È urgente, non riesco a lavorare.",Commerciale,alta
985,Richiesta campioni,Vorrei lasciare un feedback sul servizio ricevuto Attendo riscontro.,Commerciale,media
986,Promozione attiva,Siamo interessati a una partnership commerciale Solo per avere informazioni.,Commerciale,bassa
987,Assegni familiari,Ho bisogno di un certificato di lavoro per la banca Quando possibile.,Amministrazione,bassa
988,Contratto fornitura,È possibile ricevere dei campioni gratuiti? Problema grave che blocca tutto.,Commerciale,alta
989,Server non risponde,La stampante non risponde ai comandi di stampa Solo per avere informazioni.,Tecnico,bassa
990,Certificato lavoro,Devo organizzare una trasferta di lavoro Senza fretta.,Amministrazione,bassa
991,Upgrade piano,Il mio ordine è in ritardo rispetto alla data prevista Non è prioritario.,Commerciale,bassa
992,Pagamento effettuato,Vorrei discutere un contratto di fornitura Quando possibile.,Commerciale,bassa
993,Credito cliente,"Ci sono offerte speciali in corso? Sono fermo, non posso procedere.",Commerciale,alta
994,Catalogo prodotti,Vorrei informazioni sulla promozione attiva È bloccante per il mio lavoro.,Commerciale,alta
995,Errore di sistema,La webcam non viene riconosciuta dal sistema Cordiali saluti.,Tecnico,media
996,Congedo parentale,"Devo comunicare un periodo di malattia Quando possibile, grazie.",Amministrazione,media
997,Computer lento,"Non esce audio dalle casse del computer Quando possibile, grazie.",Tecnico,media
998,Informazioni prodotto,Richiedo la sostituzione dell'articolo difettoso Senza fretta.,Commerciale,bassa
999,Busta paga errata,Ho bisogno di modificare le detrazioni fiscali È bloccante per il mio lavoro.,Amministrazione,alta
1000,Cambio mansione,Richiedo un anticipo sullo stipendio Fatemi sapere.,Amministrazione,media
